NAME,R,MSINI,A,PER,ECC,MASS
,rearth,mjupiter,au,day,,mearth
Kepler-107 d,1.0699980915946756,,0.0780099,7.958203,,1.1798433192728732
Kepler-1049 b,0.9527633621297878,,0.0344721,3.27346074,0,0.779632751330722
Kepler-813 b,2.140915319609288,,0.13761,19.12947337,0,5.0754359395400215
Kepler-427 b,13.787046299054577,0.310432,0.091351,10.290994,0,92.16681731445213
Kepler-1056 b,3.015215816622505,,0.185149,27.495606,0,8.62112518328814
Kepler-1165 b,1.546839340869538,,0.0912977,9.478522,0,3.681682971778648
Kepler-1104 b,1.2329878804032548,,0.0627651,5.03728015,0,1.936402584613839
WASP-14 b,14.35870431633245,7.65457,0.0367693,2.243752,0.091,2444.7534327608714
Kepler-50 b,2.1980362854141515,,0.0825598,7.8125124,,5.24127264738375
NN Ser d,,0.642621,3.70596,2605,0.05,204.2356286532088
WASP-105 b,10.9970076963359,1.75919,0.0745473,7.87288,0,559.1093391583811
GJ 625 b,,0.0089295,0.0783624,14.628,0.13,2.837943431756553
Kepler-1279 b,1.7486009940264342,,0.170989,23.4774101,0,4.100724173947976
Kepler-1599 b,1.6253022059861084,,0.48075,122.363553,0,3.8398920809480765
Kepler-20 b,1.9082953425001177,0.0266149,0.0453704,3.6961219,0,8.474452817113589
HAT-P-27 b,11.433160345557454,0.615135,0.0399488,3.039577,0,196.24699030832576
Kepler-181 b,1.2699999347768143,,0.0419466,3.137873,,2.1431994973385557
HD 116029 b,,1.9075,1.64869,670,0,606.2351863010947
Kepler-207 b,1.5699970950596571,,0.0269045,1.611865,,3.72782994375816
Kepler-1156 b,1.3226597262507642,,0.101981,11.89520511,0,2.461082850256101
Kepler-1512 b,1.1769429767485615,,0.13139,20.35972599,0,1.648581504971377
Kepler-787 b,1.2778238033270095,,0.0161327,0.9283105,0,2.188656807271266
Kepler-528 b,2.0848704159545943,,0.143629,19.78297415,0,4.9194197649894535
HD 219828 b,,0.0622185,0.0515012,3.8334999,0,19.774072838204276
Kepler-480 b,2.7798272212727926,,0.0609811,4.9195838,0,7.4214628201265445
Kepler-1567 b,2.734991298349038,,0.5527,153.979578,0,7.216248634126745
HD 3167 b,,0.0157857,0.0181491,0.959641,0,5.050423772220548
